Leading Gene names	Gene names	Protein names	Total Peptides	Unique peptides	Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mol. weight [kDa]	Sequence coverage [%]	Fold Change RNAi/CONTROL	p-value	LFQ intensity RNAi_1	Imputed (0=no/1=yes)	LFQ intensity RNAi_2	Imputed (0=no/1=yes)	LFQ intensity RNAi_3	Imputed (0=no/1=yes)	LFQ intensity Control_1	Imputed (0=no/1=yes)	LFQ intensity Control_2	Imputed (0=no/1=yes)	LFQ intensity Control_3	Imputed (0=no/1=yes)	GlyGly (K) site positions
NSFL1C	NSFL1C	NSFL1 cofactor p47	24	24	Q9UNZ2;Q9UNZ2-5;Q9UNZ2-6;Q9UNZ2-4	Q9UNZ2;Q9UNZ2-5;Q9UNZ2-6;Q9UNZ2-4	24;24;19;18	24;24;19;18	24;24;19;18	40.572	65.9	1.54	6.4E-03	32.0202	0	32.2649	0	31.8755	0	31.4237	0	31.4962	0	31.3798	0	172
PGAM1	PGAM1	Phosphoglycerate mutase 1	14	14	P18669;P15259;Q8N0Y7	P18669	14;5;5	14;5;5	14;5;5	28.804	66.1	1.08	4.7E-02	31.7144	0	31.794	0	31.699	0	31.5761	0	31.6691	0	31.623	0	
MAP4	MAP4	Microtubule-associated protein 4	31	31	P27816;P27816-6;P27816-2;P27816-5;P27816-4;P27816-7;P27816-3	P27816;P27816-6;P27816-2;P27816-5	31;30;25;17;11;4;1	31;30;25;17;11;4;1	31;30;25;17;11;4;1	121	38.2	1.25	1.1E-02	32.584	0	32.682	0	32.5508	0	32.2134	0	32.4039	0	32.2387	0	
SNRNP200	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	66	66	O75643;O75643-2	O75643	66;17	66;17	66;17	244.5	38.2	0.91	1.6E-02	32.3699	0	32.4736	0	32.3823	0	32.5695	0	32.5256	0	32.5505	0	
KIF1A	KIF1A	Kinesin-like protein KIF1A	57	48	Q12756;Q12756-3;Q12756-2	Q12756;Q12756-3;Q12756-2	57;57;57	57;57;57	48;48;48	191.06	40.9	1.16	1.9E-02	32.5211	0	32.6529	0	32.5221	0	32.365	0	32.4061	0	32.2882	0	676;1039
RCN1	RCN1	Reticulocalbin-1	13	13	Q15293;Q15293-2	Q15293;Q15293-2	13;11	13;11	13;11	38.89	52.6	1.48	2.4E-04	32.2126	0	32.1842	0	32.137	0	31.69	0	31.5762	0	31.5658	0	
ABCE1	ABCE1	ATP-binding cassette sub-family E member 1	23	23	P61221	P61221	23	23	23	67.314	48.4	0.69	3.2E-04	31.7065	0	31.7448	0	31.595	0	32.2241	0	32.1974	0	32.2403	0	332
RRM1	RRM1	Ribonucleoside-diphosphate reductase large subunit	26	26	P23921	P23921	26	26	26	90.069	43.6	1.12	1.6E-03	31.985	0	31.9723	0	31.9415	0	31.7751	0	31.8185	0	31.829	0	376
COPE	COPE	Coatomer subunit epsilon	14	14	O14579;O14579-2;O14579-3	O14579;O14579-2;O14579-3	14;11;10	14;11;10	14;11;10	34.482	53.6	0.82	4.1E-02	31.0997	0	31.3936	0	31.1864	0	31.4541	0	31.6078	0	31.4966	0	265;278
GFPT1	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	23	19	Q06210-2;Q06210	Q06210-2;Q06210	23;23	23;23	19;19	76.758	40.8	1.32	1.1E-02	32.0777	0	32.1143	0	31.9117	0	31.6361	0	31.7482	0	31.5281	0	
HSPA4L	HSPA4L	Heat shock 70 kDa protein 4L	26	24	O95757	O95757	26	24	24	94.511	39.2	0.87	4.8E-02	31.7548	0	31.6599	0	31.8629	0	31.9737	0	31.8837	0	32.0163	0	736
CDK5RAP3	CDK5RAP3	CDK5 regulatory subunit-associated protein 3	21	21	Q96JB5;Q96JB5-4;Q96JB5-2;Q96JB5-3	Q96JB5;Q96JB5-4;Q96JB5-2;Q96JB5-3	21;20;15;12	21;20;15;12	21;20;15;12	56.92	38.7	0.86	9.9E-03	31.7216	0	31.6574	0	31.5815	0	31.8786	0	31.8304	0	31.9228	0	
MAGED1	MAGED1	Melanoma-associated antigen D1	17	15	Q9Y5V3;Q9Y5V3-2	Q9Y5V3;Q9Y5V3-2	17;17	16;16	15;15	86.16	24.7	0.46	5.5E-05	31.3877	0	31.4791	0	31.468	0	32.4685	0	32.6575	0	32.5618	0	
VPS35	VPS35	Vacuolar protein sorting-associated protein 35	23	23	Q96QK1	Q96QK1	23	23	23	91.706	36.4	0.86	1.5E-04	31.6709	0	31.6816	0	31.697	0	31.895	0	31.9347	0	31.8913	0	
FANCI	FANCI	Fanconi anemia group I protein	50	50	Q9NVI1;Q9NVI1-1;Q9NVI1-2;Q9NVI1-4	Q9NVI1;Q9NVI1-1;Q9NVI1-2	50;47;46;5	50;47;46;5	50;47;46;5	149.32	43.9	0.89	4.3E-02	32.1208	0	32.139	0	32.0753	0	32.3142	0	32.3456	0	32.1718	0	
HECTD1	HECTD1	E3 ubiquitin-protein ligase HECTD1	63	63	Q9ULT8	Q9ULT8	63	63	63	289.38	31.5	0.57	4.6E-03	31.5965	0	31.6185	0	31.8967	0	32.7288	0	32.4164	0	32.4121	0	
CTNND1	CTNND1	Catenin delta-1	28	28	O60716-13;O60716-11;O60716-10;O60716-9;O60716-5;O60716-3;O60716-2;O60716;O60716-21;O60716-19;O60716-18;O60716-17;O60716-16;O60716-15;O60716-14;O60716-12;O60716-8;O60716-7;O60716-6;O60716-4;O60716-24;O60716-23;O60716-22;O60716-20;O60716-29;O60716-27;O60716-26;O60716-25;O60716-32;O60716-31;O60716-30;O60716-28	O60716-13;O60716-11;O60716-10;O60716-9;O60716-5;O60716-3;O60716-2;O60716;O60716-21;O60716-19;O60716-18;O60716-17;O60716-16;O60716-15;O60716-14;O60716-12;O60716-8;O60716-7;O60716-6;O60716-4;O60716-24;O60716-23;O60716-22;O60716-20;O60716-29;O60716-27;O60716-26;O60716-25;O60716-32;O60716-31;O60716-30;O60716-28	28;28;28;28;28;28;28;28;27;27;27;27;26;26;26;26;26;26;26;26;25;25;25;25;19;19;19;19;17;17;17;17	28;28;28;28;28;28;28;28;27;27;27;27;26;26;26;26;26;26;26;26;25;25;25;25;19;19;19;19;17;17;17;17	28;28;28;28;28;28;28;28;27;27;27;27;26;26;26;26;26;26;26;26;25;25;25;25;19;19;19;19;17;17;17;17	98.048	46.6	1.23	6.1E-03	32.0072	0	31.9781	0	31.8336	0	31.6744	0	31.6301	0	31.6124	0	
PRKAR1A	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed	13	13	P10644;P10644-2;P31321	P10644;P10644-2	13;10;2	13;10;2	13;10;2	42.981	35.4	0.42	8.9E-04	30.9514	0	30.8157	0	30.5067	0	31.9117	0	32.0766	0	32.0095	0	261
EEA1	EEA1	Early endosome antigen 1	54	54	Q15075	Q15075	54	54	54	162.46	43.6	1.28	8.7E-03	32.2043	0	32.4336	0	32.2851	0	31.9151	0	32.0152	0	31.908	0	
DDX5	DDX5	Probable ATP-dependent RNA helicase DDX5	21	17	P17844;P17844-2	P17844;P17844-2	21;19	21;19	17;15	69.147	32.6	1.13	3.2E-02	31.8419	0	31.7789	0	31.6503	0	31.5714	0	31.5678	0	31.5854	0	
MIB1	MIB1	E3 ubiquitin-protein ligase MIB1	28	28	Q86YT6	Q86YT6	28	28	28	110.13	31	0.87	4.5E-02	31.9566	0	32.0682	0	31.9299	0	32.1425	0	32.2999	0	32.1207	0	28;938
EPS15L1	EPS15L1	Epidermal growth factor receptor substrate 15-like 1	35	35	Q9UBC2-2;Q9UBC2-3;Q9UBC2;Q9UBC2-4	Q9UBC2-2;Q9UBC2-3;Q9UBC2;Q9UBC2-4	35;34;34;29	35;34;34;29	35;34;34;29	99.605	53.4	1.39	6.6E-04	31.9628	0	31.9344	0	31.9132	0	31.4931	0	31.5174	0	31.3632	0	
TRIP12	TRIP12	E3 ubiquitin-protein ligase TRIP12	49	1	Q14669-2;Q14669;Q14669-4	Q14669-2;Q14669;Q14669-4	49;48;47	49;48;47	1;0;1	223.9	32.4	0.80	1.1E-02	31.8956	0	31.9284	0	31.9998	0	32.4045	0	32.2165	0	32.1917	0	
SEPT7	SEPT7	Septin-7	19	18	Q16181-2;Q16181;Q6ZU15	Q16181-2;Q16181	19;19;1	19;19;1	18;18;1	50.58	44	0.61	7.6E-03	30.9198	0	31.1908	0	30.699	0	31.6466	0	31.6475	0	31.6382	0	351
SPTAN1	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	93	93	Q13813-3;Q13813;Q13813-2	Q13813-3;Q13813;Q13813-2	93;93;92	93;93;92	93;93;92	282.28	46.1	0.82	3.5E-02	31.7844	0	31.9944	0	31.9324	0	32.0582	0	32.2604	0	32.2696	0	
CUL2	CUL2	Cullin-2	28	28	Q13617;Q13617-2	Q13617;Q13617-2	28;28	28;28	28;28	86.982	42.3	0.78	2.2E-03	31.3652	0	31.3843	0	31.2789	0	31.7	0	31.7707	0	31.634	0	16
RAD18	RAD18	E3 ubiquitin-protein ligase RAD18	18	18	Q9NS91	Q9NS91	18	18	18	56.222	32.7	0.79	1.8E-02	31.4431	0	31.6324	0	31.4139	0	31.8198	0	31.9304	0	31.7446	0	197
ACSL4	ACSL4	Long-chain-fatty-acid--CoA ligase 4	25	23	O60488-2;O60488	O60488-2;O60488	25;25	25;25	23;23	74.435	46.4	0.86	3.7E-03	31.4555	0	31.5319	0	31.4739	0	31.7386	0	31.7158	0	31.6498	0	661
PAICS	PAICS	Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase	16	16	P22234;P22234-2	P22234;P22234-2	16;16	16;16	16;16	47.079	35.5	1.14	9.8E-03	31.3071	0	31.2403	0	31.3409	0	31.1232	0	31.141	0	31.045	0	11
CALR	CALR	Calreticulin	12	12	P27797	P27797	12	12	12	48.141	29.7	1.23	9.6E-03	31.6767	0	31.7206	0	31.58	0	31.2893	0	31.4541	0	31.3345	0	64
GIGYF2	GIGYF2	PERQ amino acid-rich with GYF domain-containing protein 2	29	29	Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5;Q6Y7W6-3	Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5;Q6Y7W6-3	29;28;28;26	29;28;28;26	29;28;28;26	150.07	27.3	1.99	1.2E-06	32.3076	0	32.2621	0	32.2625	0	31.2649	0	31.3106	0	31.2691	0	1103;1185
ARCN1	ARCN1	Coatomer subunit delta	23	23	P48444;P48444-2	P48444;P48444-2	23;17	23;17	23;17	57.21	43.8	1.40	4.9E-02	31.8344	0	31.4142	0	31.3711	0	30.8763	0	31.0929	0	31.1878	0	142;336
NUDC	NUDC	Nuclear migration protein nudC	16	16	Q9Y266	Q9Y266	16	16	16	38.242	50.5	1.52	6.8E-03	31.4004	0	31.4289	0	31.0816	0	30.6865	0	30.7701	0	30.6466	0	68
P4HB	P4HB	Protein disulfide-isomerase	20	20	P07237	P07237	20	20	20	57.116	39.4	1.30	3.3E-02	31.6343	0	31.6536	0	31.4224	0	31.0191	0	31.3296	0	31.2324	0	
ECM29	ECM29	Proteasome-associated protein ECM29 homolog	47	47	Q5VYK3	Q5VYK3	47	47	47	204.29	33.3	0.81	2.0E-02	31.6847	0	31.6199	0	31.7912	0	31.9914	0	31.904	0	32.1328	0	
TBC1D15	TBC1D15	TBC1 domain family member 15	21	21	Q8TC07-2;Q8TC07-3;Q8TC07	Q8TC07-2;Q8TC07-3;Q8TC07	21;20;20	21;20;20	21;20;20	77.394	33.4	1.41	1.8E-03	31.591	0	31.6486	0	31.5348	0	31.0965	0	31.2015	0	31	0	
TRAFD1	TRAFD1	TRAF-type zinc finger domain-containing protein 1	13	13	O14545;O14545-2	O14545	13;2	13;2	13;2	64.84	32.6	1.32	3.1E-02	31.7722	0	31.6547	0	31.4304	0	31.0863	0	31.339	0	31.2155	0	
DCTN1	DCTN1	Dynactin subunit 1	40	40	Q14203-3;Q14203-4;Q14203-6;Q14203;Q14203-5;Q14203-2	Q14203-3;Q14203-4;Q14203-6;Q14203;Q14203-5;Q14203-2	40;40;39;39;38;37	40;40;39;39;38;37	40;40;39;39;38;37	136.82	41.7	0.89	4.9E-02	31.6172	0	31.8027	0	31.7594	0	31.8757	0	31.9487	0	31.8696	0	
UFD1L	UFD1L	Ubiquitin fusion degradation protein 1 homolog	10	10	Q92890;Q92890-1;Q92890-3	Q92890;Q92890-1;Q92890-3	10;10;9	10;10;9	10;10;9	34.5	36.5	1.19	3.9E-02	30.8539	0	31.0505	0	30.7897	0	30.6321	0	30.7022	0	30.5954	0	255
PCBP2	PCBP2	Poly(rC)-binding protein 2	15	11	Q15366-6;Q15366-3;Q15366;Q15366-2;Q15366-4;Q15366-5;Q15366-7;Q15366-8;P57721-2;P57721-3;P57721-5;P57721-4;P57721	Q15366-6;Q15366-3;Q15366;Q15366-2;Q15366-4;Q15366-5;Q15366-7;Q15366-8	15;15;15;15;13;13;12;12;4;4;4;4;4	15;15;15;15;13;13;12;12;4;4;4;4;4	11;11;11;11;9;9;8;8;1;1;1;1;1	38.15	55.4	1.33	1.8E-02	31.0517	0	31.182	0	30.8555	0	30.5575	0	30.7073	0	30.6007	0	
NUP205	NUP205	Nuclear pore complex protein Nup205	51	51	Q92621	Q92621	51	51	51	227.92	31.7	1.09	2.7E-03	31.7906	0	31.7633	0	31.747	0	31.6689	0	31.6264	0	31.6258	0	
SRP54	SRP54	Signal recognition particle 54 kDa protein	21	21	P61011;P61011-2	P61011;P61011-2	21;20	21;20	21;20	55.704	51.4	1.30	1.0E-03	31.0741	0	31.0317	0	30.9259	0	30.6322	0	30.6346	0	30.6153	0	323;457
MOV10	MOV10	Putative helicase MOV-10	30	30	Q9HCE1;Q9HCE1-2	Q9HCE1;Q9HCE1-2	30;23	30;23	30;23	113.67	33.7	0.69	1.3E-02	31.0055	0	31.1886	0	30.8463	0	31.6549	0	31.6082	0	31.401	0	
PDIA3	PDIA3	Protein disulfide-isomerase A3	22	22	P30101	P30101	22	22	22	56.782	53.3	1.27	9.4E-03	31.1028	0	30.9755	0	31.0024	0	30.7895	0	30.5688	0	30.6725	0	226
TOP2B	TOP2B	DNA topoisomerase 2-beta	50	38	Q02880-2;Q02880	Q02880-2;Q02880	50;50	38;38	38;38	182.66	33.7	0.92	3.5E-02	31.4346	0	31.5237	0	31.4766	0	31.5936	0	31.5501	0	31.6456	0	147
RPS7	RPS7	40S ribosomal protein S7	7	7	P62081	P62081	7	7	7	22.127	46.4	0.63	2.6E-02	30.1915	0	30.236	0	30.6586	0	30.7867	0	31.2029	0	31.1198	0	
PRMT1	PRMT1	Protein arginine N-methyltransferase 1	12	12	Q99873-3;Q99873-2;Q99873-4;Q99873;Q9NR22-2;Q9NR22	Q99873-3;Q99873-2;Q99873-4;Q99873	12;12;12;12;3;3	12;12;12;12;3;3	12;12;12;12;3;3	39.602	33.8	1.25	1.1E-02	30.919	0	30.902	0	30.8146	0	30.6494	0	30.591	0	30.435	0	
MSH6	MSH6	DNA mismatch repair protein Msh6	32	32	P52701;P52701-3;P52701-4;P52701-2	P52701;P52701-3;P52701-4;P52701-2	32;30;29;27	32;30;29;27	32;30;29;27	152.78	28.9	0.82	2.4E-02	31.1697	0	31.346	0	31.4484	0	31.5806	0	31.6281	0	31.6344	0	
UBE2E3	UBE2E3	Ubiquitin-conjugating enzyme E2 E3	5	2	Q969T4;P51965-2;P51965-3;P51965	Q969T4	5;2;2;2	5;2;2;2	2;0;0;0	22.912	32.9	0.60	1.3E-03	30.1257	0	30.2636	0	30.3886	0	31.0178	0	31.0479	0	30.8876	0	
IGF2BP3	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	23	20	O00425;O00425-2	O00425	23;11	21;10	20;9	63.704	42.5	0.58	8.9E-04	30.4757	0	30.5667	0	30.3524	0	31.1705	0	31.361	0	31.1862	0	213;567
EPB41L5	EPB41L5	Band 4.1-like protein 5	18	18	Q9HCM4-4;Q9HCM4-3;Q9HCM4;Q9HCM4-2;Q9H329-2;Q9H329	Q9HCM4-4;Q9HCM4-3;Q9HCM4;Q9HCM4-2	18;18;18;11;1;1	18;18;18;11;1;1	18;18;18;11;1;1	77.519	38	1.18	2.3E-04	31.1759	0	31.2023	0	31.2353	0	30.9556	0	30.9808	0	30.9562	0	
DDX1	DDX1	ATP-dependent RNA helicase DDX1	21	21	Q92499;Q92499-3;Q92499-2	Q92499;Q92499-3;Q92499-2	21;20;18	21;20;18	21;20;18	82.431	33.8	0.91	3.5E-02	30.9963	0	30.933	0	30.8638	0	31.1004	0	31.0885	0	31.0253	0	172
NPLOC4	NPLOC4	Nuclear protein localization protein 4 homolog	17	17	Q8TAT6;Q8TAT6-2	Q8TAT6;Q8TAT6-2	17;17	17;17	17;17	68.119	30.4	1.30	2.6E-03	31.0806	0	31.088	0	31.1353	0	30.7828	0	30.6197	0	30.7753	0	
FARSB	FARSB	Phenylalanine--tRNA ligase beta subunit	18	18	Q9NSD9;Q9NSD9-2	Q9NSD9;Q9NSD9-2	18;14	18;14	18;14	66.115	31.7	0.84	2.3E-03	30.8488	0	30.8919	0	30.8037	0	31.1293	0	31.0467	0	31.1016	0	
GNB2L1	GNB2L1	Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed	11	11	P63244	P63244	11	11	11	35.076	30.6	1.43	3.3E-02	30.8421	0	30.7814	0	30.5864	0	30.3893	0	30.3361	0	29.9404	0	44;271
CKAP4	CKAP4	Cytoskeleton-associated protein 4	26	26	Q07065	Q07065	26	26	26	66.022	48.5	1.19	1.8E-02	30.9559	0	31.1071	0	30.9176	0	30.7237	0	30.7985	0	30.6948	0	21
HK1	HK1	Hexokinase-1	25	22	P19367-4;P19367-2;P19367;P19367-3;Q2TB90	P19367-4;P19367-2;P19367;P19367-3	25;25;25;25;3	25;25;25;25;3	22;22;22;22;2	101.08	27.5	0.75	2.5E-03	30.6667	0	30.7284	0	30.5642	0	31.1331	0	31.0861	0	30.9987	0	
KIF11	KIF11	Kinesin-like protein KIF11	22	22	P52732	P52732	22	22	22	119.16	25.6	1.21	4.6E-02	31.0011	0	31.1675	0	31.0744	0	30.8293	0	30.9419	0	30.6614	0	
BZW1	BZW1	Basic leucine zipper and W2 domain-containing protein 1	10	10	Q7L1Q6;Q7L1Q6-4;Q7L1Q6-3;Q7L1Q6-2	Q7L1Q6;Q7L1Q6-4;Q7L1Q6-3;Q7L1Q6-2	10;10;10;9	10;10;10;9	10;10;10;9	48.043	28.6	1.25	7.5E-03	30.443	0	30.6357	0	30.6132	0	30.2089	0	30.2465	0	30.2769	0	
TOM1L2	TOM1L2	TOM1-like protein 2	17	17	Q6ZVM7;Q6ZVM7-5;Q6ZVM7-2;Q6ZVM7-3;Q6ZVM7-4	Q6ZVM7;Q6ZVM7-5;Q6ZVM7-2;Q6ZVM7-3	17;16;12;11;6	17;16;12;11;6	17;16;12;11;6	55.556	35.9	1.42	8.5E-03	31.1408	0	30.8375	0	30.8605	0	30.3845	0	30.4147	0	30.5162	0	106
ZC3H14	ZC3H14	Zinc finger CCCH domain-containing protein 14	24	24	Q6PJT7-5;Q6PJT7-9;Q6PJT7-2;Q6PJT7;Q6PJT7-3;Q6PJT7-10;Q6PJT7-4;Q6PJT7-11;Q6PJT7-8;Q6PJT7-6	Q6PJT7-5;Q6PJT7-9;Q6PJT7-2;Q6PJT7;Q6PJT7-3;Q6PJT7-10;Q6PJT7-4;Q6PJT7-11	24;24;24;24;20;19;19;19;2;2	24;24;24;24;20;19;19;19;2;2	24;24;24;24;20;19;19;19;2;2	80.02	38.5	0.87	3.3E-02	30.7977	0	30.8005	0	30.7415	0	30.9589	0	31.1052	0	30.8976	0	
ARIH2	ARIH2	E3 ubiquitin-protein ligase ARIH2	12	12	O95376	O95376	12	12	12	57.818	29.8	1.21	2.1E-02	30.9966	0	31.0109	0	30.8336	0	30.6606	0	30.7576	0	30.5848	0	377
HNRNPA1	HNRNPA1;HNRNPA1L2	Heterogeneous nuclear ribonucleoprotein A1;Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed;Heterogeneous nuclear ribonucleoprotein A1-like 2	13	12	P09651-3;P09651-2;P09651;Q32P51	P09651-3;P09651-2;P09651;Q32P51	13;13;13;9	12;12;12;8	12;12;12;8	29.386	51.7	1.26	8.0E-05	30.4273	0	30.43	0	30.3709	0	30.0709	0	30.0831	0	30.0887	0	8;245
CNOT4	CNOT4	CCR4-NOT transcription complex subunit 4	17	17	O95628-8;O95628-4;O95628-9;O95628-10;O95628-6;O95628-3;O95628-2;O95628;O95628-7;O95628-5	O95628-8;O95628-4;O95628-9;O95628-10;O95628-6;O95628-3;O95628-2;O95628;O95628-7;O95628-5	17;17;17;17;15;14;14;14;14;11	17;17;17;17;15;14;14;14;14;11	17;17;17;17;15;14;14;14;14;11	70.338	37.9	1.25	9.4E-03	31.0729	0	30.9554	0	31.0923	0	30.6498	0	30.8246	0	30.6809	0	232
GBF1	GBF1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	42	42	Q92538-3;Q92538-2;Q92538	Q92538-3;Q92538-2;Q92538	42;42;42	42;42;42	42;42;42	206.01	29.3	1.31	9.9E-04	31.2799	0	31.3218	0	31.1851	0	30.8988	0	30.8908	0	30.8372	0	
CFL1	CFL1	Cofilin-1	10	6	P23528	P23528	10	10	6	18.502	59	1.18	2.2E-02	30.2955	0	30.4508	0	30.3183	0	30.1101	0	30.1967	0	30.0453	0	112;114
TOM1	TOM1	Target of Myb protein 1	15	15	O60784;O60784-2;O60784-4;O60784-3	O60784;O60784-2;O60784-4;O60784-3	15;14;13;11	15;14;13;11	15;14;13;11	53.818	42.9	1.41	1.1E-02	30.9066	0	30.691	0	30.5324	0	30.2277	0	30.2041	0	30.225	0	106
ZUFSP	ZUFSP	Zinc finger with UFM1-specific peptidase domain protein	17	17	Q96AP4;Q96AP4-2	Q96AP4	17;2	17;2	17;2	65.958	26.5	0.68	2.9E-02	30.4649	0	30.5866	0	30.3198	0	30.8701	0	31.2946	0	30.8477	0	174;176;276
NOMO2	NOMO2;NOMO3	Nodal modulator 2;Nodal modulator 3	29	2	Q5JPE7-2;P69849;Q5JPE7;Q5JPE7-3	Q5JPE7-2;P69849;Q5JPE7;Q5JPE7-3	29;29;29;26	29;29;29;26	2;2;2;2	134.19	33.9	1.22	4.4E-02	31.0808	0	31.1017	0	31.2558	0	30.7358	0	30.8497	0	31.0091	0	
DDX39B	DDX39B	Spliceosome RNA helicase DDX39B	12	5	Q13838;Q13838-2	Q13838;Q13838-2	12;12	12;12	5;5	48.991	35.3	1.26	1.2E-02	30.385	0	30.5706	0	30.3172	0	30.0926	0	30.1115	0	30.0816	0	
GLRX3	GLRX3	Glutaredoxin-3	11	11	O76003	O76003	11	11	11	37.432	32.8	1.33	2.1E-03	30.5239	0	30.3423	0	30.4325	0	30.0669	0	29.981	0	30.0072	0	
PSME3	PSME3	Proteasome activator complex subunit 3	12	12	P61289;P61289-2;P61289-3	P61289;P61289-2;P61289-3	12;12;11	12;12;11	12;12;11	29.506	55.5	0.85	9.2E-03	30.0927	0	30.0804	0	30.1851	0	30.2793	0	30.3913	0	30.3887	0	6
TRIM27	TRIM27	Zinc finger protein RFP	12	12	P14373;P14373-2;Q9HCM9-2;Q9HCM9	P14373;P14373-2	12;10;1;1	12;10;1;1	12;10;1;1	58.489	28.8	0.92	2.0E-02	30.6456	0	30.6562	0	30.7067	0	30.8186	0	30.7969	0	30.737	0	
BAX	BAX	Apoptosis regulator BAX	8	8	Q07812-8;Q07812;Q07812-2;Q07812-5;Q07812-7;Q07812-6;Q07812-4	Q07812-8;Q07812;Q07812-2;Q07812-5;Q07812-7;Q07812-6;Q07812-4	8;8;8;7;7;4;4	8;8;8;7;7;4;4	8;8;8;7;7;4;4	19.718	58.7	1.32	4.0E-03	30.357	0	30.2832	0	30.3032	0	29.8545	0	30.0405	0	29.8454	0	
ANKRD13A	ANKRD13A	Ankyrin repeat domain-containing protein 13A	21	20	Q8IZ07	Q8IZ07	21	21	20	67.618	43.4	1.15	3.4E-02	30.7997	0	30.7274	0	30.665	0	30.4809	0	30.6306	0	30.49	0	
TFIP11	TFIP11	Tuftelin-interacting protein 11	25	25	Q9UBB9;Q9UBB9-2	Q9UBB9	25;10	25;10	25;10	96.819	34.4	0.82	1.5E-02	30.2846	0	30.4379	0	30.3896	0	30.7349	0	30.6995	0	30.5556	0	
RPLP2	RPLP2	60S acidic ribosomal protein P2	10	10	P05387	P05387	10	10	10	11.665	80	0.76	4.5E-02	29.987	0	30.111	0	29.9141	0	30.1567	0	30.5627	0	30.461	0	21;41;61
COPB1	COPB1	Coatomer subunit beta	26	26	P53618	P53618	26	26	26	107.14	38.7	0.86	1.3E-02	30.4261	0	30.5776	0	30.4707	0	30.6933	0	30.7579	0	30.6811	0	
STXBP3	STXBP3	Syntaxin-binding protein 3	13	13	O00186	O00186	13	13	13	67.764	25.7	0.89	1.3E-02	30.4994	0	30.4184	0	30.413	0	30.668	0	30.6117	0	30.5676	0	
PIBF1	PIBF1	Progesterone-induced-blocking factor 1	30	30	Q8WXW3;Q8WXW3-4;Q8WXW3-2;Q8WXW3-3	Q8WXW3	30;9;8;2	30;9;8;2	30;9;8;2	89.804	40.8	0.72	3.6E-03	30.5305	0	30.3427	0	30.273	0	30.8614	0	30.8853	0	30.8379	0	
LRBA	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein	47	43	P50851-2;P50851;Q8NFP9-3	P50851-2;P50851	47;46;1	47;46;1	43;42;0	317.7	20.9	0.82	3.9E-02	30.8924	0	30.9534	0	30.708	0	31.157	0	31.2357	0	31.0269	0	
SUPT6H	SUPT6H	Transcription elongation factor SPT6	46	46	Q7KZ85;Q7KZ85-3;Q7KZ85-2	Q7KZ85	46;14;13	46;14;13	46;14;13	199.07	33	0.92	1.6E-02	30.9647	0	31.0066	0	30.9571	0	31.0447	0	31.1039	0	31.1274	0	
XIAP	XIAP	E3 ubiquitin-protein ligase XIAP	14	14	P98170	P98170	14	14	14	56.684	36.2	1.28	2.2E-02	30.772	0	30.4946	0	30.4765	0	30.2547	0	30.2359	0	30.1799	0	
VPS33A	VPS33A	Vacuolar protein sorting-associated protein 33A	18	18	Q96AX1	Q96AX1	18	18	18	67.61	32.2	0.92	6.0E-03	30.4218	0	30.41	0	30.3673	0	30.52	0	30.5517	0	30.4961	0	
AP2A1	AP2A1	AP-2 complex subunit alpha-1	25	18	O95782-2;O95782	O95782-2;O95782	25;25	18;18	18;18	105.36	31.4	1.18	2.1E-03	30.6006	0	30.6344	0	30.5905	0	30.3288	0	30.4312	0	30.3517	0	
TOM1L1	TOM1L1	TOM1-like protein 1	9	9	O75674;O75674-2;O75674-3	O75674;O75674-2;O75674-3	9;8;7	9;8;7	9;8;7	52.988	27.7	1.44	4.6E-03	30.5824	0	30.5292	0	30.2901	0	29.9121	0	29.969	0	29.9473	0	
KNTC1	KNTC1	Kinetochore-associated protein 1	44	44	P50748;P50748-2	P50748	44;11	44;11	44;11	250.75	22.4	0.69	6.4E-03	30.5481	0	30.8225	0	30.5177	0	31.1146	0	31.2069	0	31.1466	0	
RAB5C	RAB5C	Ras-related protein Rab-5C	9	5	P51148;P51148-2	P51148;P51148-2	9;9	9;9	5;5	23.482	51.4	0.65	3.6E-02	29.9999	0	29.4387	0	29.5676	0	30.3702	0	30.3901	0	30.0813	0	117
